,time,SCE
704,1994-02-28,1
705,1994-03-07,1
706,1994-03-14,1
707,1994-03-21,0
708,1994-03-28,1
709,1994-04-04,0
710,1994-04-11,0
711,1994-04-18,0
712,1994-04-25,0
713,1994-05-02,0
714,1994-05-09,0
715,1994-05-16,0
716,1994-05-23,0
717,1994-05-30,0
718,1994-06-06,0
719,1994-06-13,0
720,1994-06-20,0
721,1994-06-27,0
722,1994-07-04,0
723,1994-07-11,0
724,1994-07-18,0
725,1994-07-25,0
726,1994-08-01,0
727,1994-08-08,0
728,1994-08-15,0
729,1994-08-22,0
730,1994-08-29,0
731,1994-09-05,0
732,1994-09-12,0
733,1994-09-19,0
734,1994-09-26,0
735,1994-10-03,0
736,1994-10-10,0
737,1994-10-17,0
738,1994-10-24,0
739,1994-10-31,0
740,1994-11-07,0
741,1994-11-14,0
742,1994-11-21,1
743,1994-11-28,1
744,1994-12-05,1
745,1994-12-12,1
746,1994-12-19,1
747,1994-12-26,1
748,1995-01-02,1
749,1995-01-09,1
750,1995-01-16,1
751,1995-01-23,1
752,1995-01-30,1
753,1995-02-06,1
754,1995-02-13,1
755,1995-02-20,1
756,1995-02-27,1
757,1995-03-06,1
758,1995-03-13,1
759,1995-03-20,0
760,1995-03-27,0
761,1995-04-03,0
762,1995-04-10,1
763,1995-04-17,0
764,1995-04-24,0
765,1995-05-01,0
766,1995-05-08,0
767,1995-05-15,0
768,1995-05-22,0
769,1995-05-29,0
770,1995-06-05,0
771,1995-06-12,0
772,1995-06-19,0
773,1995-06-26,0
774,1995-07-03,0
775,1995-07-10,0
776,1995-07-17,0
777,1995-07-24,0
778,1995-07-31,0
779,1995-08-07,0
780,1995-08-14,0
781,1995-08-21,0
782,1995-08-28,0
783,1995-09-04,0
784,1995-09-11,0
785,1995-09-18,0
786,1995-09-25,0
787,1995-10-02,0
788,1995-10-09,0
789,1995-10-16,0
790,1995-10-23,0
791,1995-10-30,0
792,1995-11-06,1
793,1995-11-13,0
794,1995-11-20,1
795,1995-11-27,0
796,1995-12-04,0
797,1995-12-11,1
798,1995-12-18,1
799,1995-12-25,1
800,1996-01-01,1
801,1996-01-08,1
802,1996-01-15,1
803,1996-01-22,1
804,1996-01-29,1
805,1996-02-05,1
806,1996-02-12,0
807,1996-02-19,1
808,1996-02-26,1
809,1996-03-04,1
810,1996-03-11,1
811,1996-03-18,0
812,1996-03-25,1
813,1996-04-01,1
814,1996-04-08,0
815,1996-04-15,0
816,1996-04-22,0
817,1996-04-29,0
818,1996-05-06,0
819,1996-05-13,0
820,1996-05-20,0
821,1996-05-27,0
822,1996-06-03,0
823,1996-06-10,0
824,1996-06-17,0
825,1996-06-24,0
826,1996-07-01,0
827,1996-07-08,0
828,1996-07-15,0
829,1996-07-22,0
830,1996-07-29,0
831,1996-08-05,0
832,1996-08-12,0
833,1996-08-19,0
834,1996-08-26,0
835,1996-09-02,0
836,1996-09-09,0
837,1996-09-16,0
838,1996-09-23,0
839,1996-09-30,0
840,1996-10-07,0
841,1996-10-14,0
842,1996-10-21,0
843,1996-10-28,0
844,1996-11-04,0
845,1996-11-11,0
846,1996-11-18,1
847,1996-11-25,1
848,1996-12-02,1
849,1996-12-09,1
850,1996-12-16,1
851,1996-12-23,1
852,1996-12-30,1
853,1997-01-06,1
854,1997-01-13,1
855,1997-01-20,1
856,1997-01-27,1
857,1997-02-03,1
858,1997-02-10,1
859,1997-02-17,1
860,1997-02-24,1
861,1997-03-03,1
862,1997-03-10,1
863,1997-03-17,1
864,1997-03-24,1
865,1997-03-31,1
866,1997-04-07,1
867,1997-04-14,1
868,1997-04-21,0
869,1997-04-28,0
870,1997-05-05,0
871,1997-05-12,0
872,1997-05-19,0
873,1997-05-26,0
874,1997-06-02,0
875,1997-06-09,0
876,1997-06-16,0
877,1997-06-23,0
878,1997-06-30,0
879,1997-07-07,0
880,1997-07-14,0
881,1997-07-21,0
882,1997-07-28,0
883,1997-08-04,0
884,1997-08-11,0
885,1997-08-18,0
886,1997-08-25,0
887,1997-09-01,0
888,1997-09-08,0
889,1997-09-15,0
890,1997-09-22,0
891,1997-09-29,0
892,1997-10-06,0
893,1997-10-13,0
894,1997-10-20,0
895,1997-10-27,0
896,1997-11-03,0
897,1997-11-10,0
898,1997-11-17,1
899,1997-11-24,1
900,1997-12-01,1
901,1997-12-08,1
902,1997-12-15,1
903,1997-12-22,1
904,1997-12-29,0
905,1998-01-05,1
906,1998-01-12,1
907,1998-01-19,1
908,1998-01-26,1
909,1998-02-02,1
910,1998-02-09,1
911,1998-02-16,0
912,1998-02-23,1
913,1998-03-02,1
914,1998-03-09,1
915,1998-03-16,1
916,1998-03-23,1
917,1998-03-30,0
918,1998-04-06,0
919,1998-04-13,0
920,1998-04-20,0
921,1998-04-27,0
922,1998-05-04,0
923,1998-05-11,0
924,1998-05-18,0
925,1998-05-25,0
926,1998-06-01,0
927,1998-06-08,0
928,1998-06-15,0
929,1998-06-22,0
930,1998-06-29,0
931,1998-07-06,0
932,1998-07-13,0
933,1998-07-20,0
934,1998-07-27,0
935,1998-08-03,0
936,1998-08-10,0
937,1998-08-17,0
938,1998-08-24,0
939,1998-08-31,0
940,1998-09-07,0
941,1998-09-14,0
942,1998-09-21,0
943,1998-09-28,0
944,1998-10-05,0
945,1998-10-12,0
946,1998-10-19,0
947,1998-10-26,0
948,1998-11-02,0
949,1998-11-09,1
950,1998-11-16,1
951,1998-11-23,1
952,1998-11-30,0
953,1998-12-07,0
954,1998-12-14,0
955,1998-12-21,1
956,1998-12-28,1
957,1999-01-04,1
958,1999-01-11,1
959,1999-01-18,1
960,1999-01-25,1
961,1999-02-01,1
962,1999-02-08,1
963,1999-02-15,1
964,1999-02-22,1
965,1999-03-01,0
966,1999-03-08,0
967,1999-03-15,0
968,1999-03-22,0
969,1999-03-29,0
970,1999-04-05,1
971,1999-04-12,0
972,1999-04-19,0
973,1999-04-26,0
974,1999-05-03,0
975,1999-05-10,0
976,1999-05-17,0
977,1999-05-24,0
978,1999-05-31,0
979,1999-06-07,0
980,1999-06-14,0
981,1999-06-21,0
982,1999-06-28,0
983,1999-07-05,0
984,1999-07-12,0
985,1999-07-19,0
986,1999-07-26,0
987,1999-08-02,0
988,1999-08-09,0
989,1999-08-16,0
990,1999-08-23,0
991,1999-08-30,0
992,1999-09-06,0
993,1999-09-13,0
994,1999-09-20,0
995,1999-09-27,0
996,1999-10-04,0
997,1999-10-11,0
998,1999-10-18,0
999,1999-10-25,0
1000,1999-11-01,0
1001,1999-11-08,0
1002,1999-11-15,0
1003,1999-11-22,0
1004,1999-11-29,0
1005,1999-12-06,0
1006,1999-12-13,0
1007,1999-12-20,1
1008,1999-12-27,1
1009,2000-01-03,0
1010,2000-01-10,0
1011,2000-01-17,1
1012,2000-01-24,1
1013,2000-01-31,1
1014,2000-02-07,0
1015,2000-02-14,1
1016,2000-02-21,1
1017,2000-02-28,0
1018,2000-03-06,0
1019,2000-03-13,1
1020,2000-03-20,1
1021,2000-03-27,0
1022,2000-04-03,0
1023,2000-04-10,0
1024,2000-04-17,0
1025,2000-04-24,0
1026,2000-05-01,0
1027,2000-05-08,0
1028,2000-05-15,0
1029,2000-05-22,0
1030,2000-05-29,0
1031,2000-06-05,0
1032,2000-06-12,0
1033,2000-06-19,0
1034,2000-06-26,0
1035,2000-07-03,0
1036,2000-07-10,0
1037,2000-07-17,0
1038,2000-07-24,0
1039,2000-07-31,0
1040,2000-08-07,0
1041,2000-08-14,0
1042,2000-08-21,0
1043,2000-08-28,0
1044,2000-09-04,0
1045,2000-09-11,0
1046,2000-09-18,0
1047,2000-09-25,0
1048,2000-10-02,0
1049,2000-10-09,0
1050,2000-10-16,0
1051,2000-10-23,0
1052,2000-10-30,0
1053,2000-11-06,0
1054,2000-11-13,1
1055,2000-11-20,1
1056,2000-11-27,1
1057,2000-12-04,1
1058,2000-12-11,1
1059,2000-12-18,1
1060,2000-12-25,1
1061,2001-01-01,1
1062,2001-01-08,1
1063,2001-01-15,1
1064,2001-01-22,1
